what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1405405093950
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1405405093950
stopped,bundle,org.eclipse.egit.mylyn.ui,2.1.0.201209190230-r,"org.eclipse.egit.mylyn.ui",1405405093951
stopped,bundle,org.eclipse.egit.ui,2.1.0.201209190230-r,"org.eclipse.egit.ui",1405405093952
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1405405093953
stopped,bundle,junit.extensions.eclipse.quick.notifications,0.2.0.201204240825,"junit.extensions.eclipse.quick.notifications",1405405093953
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1405405093956
stopped,bundle,org.eclipse.mylyn.java.tasks,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.tasks",1405405093957
stopped,bundle,org.eclipse.mylyn.java.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.java.ui",1405405093958
stopped,bundle,junit.extensions.eclipse.quick,0.7.0.201204240825,"junit.extensions.eclipse.quick",1405405093958
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1405405093958
stopped,bundle,junit.extensions.eclipse.quick.mock,0.3.2.201204240825,"junit.extensions.eclipse.quick.mock",1405405093958
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1405405093959
stopped,bundle,org.eclipse.rap.ui.launch.rwt,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch.rwt",1405405093959
stopped,bundle,runjettyrun,1.3.3.201203161919,"runjettyrun",1405405093960
stopped,bundle,net.sf.jadclipse,3.3.0,"net.sf.jadclipse",1405405093961
stopped,bundle,tk.eclipse.plugin.htmleditor,2.2.7,"tk.eclipse.plugin.htmleditor",1405405093962
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1405405093963
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1405405093964
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1405405093964
stopped,bundle,de.loskutov.anyedit.AnyEditTools,2.4.1.201204040004,"de.loskutov.anyedit.AnyEditTools",1405405093964
stopped,bundle,net.certiv.ntail,1.3.0.201006150903,"net.certiv.ntail",1405405093965
stopped,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1405405093965
stopped,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1405405093965
stopped,bundle,org.limy.eclipse.code,1.4.6,"org.limy.eclipse.code",1405405093966
stopped,bundle,org.limy.eclipse.prop,1.2.6,"org.limy.eclipse.prop",1405405093967
stopped,bundle,org.limy.eclipse.web,1.3.8,"org.limy.eclipse.web",1405405093968
stopped,bundle,org.limy.eclipse.core,1.5.3,"org.limy.eclipse.core",1405405093968
stopped,bundle,org.seasar.resource.synchronizer,0.0.5,"org.seasar.resource.synchronizer",1405405094047
